Files,size
file1,28160
file2,60928
file3,61952
file4,35328
file5,25600
file6,24576
file7,31744
file8,26624
file9,36352
file10,57856
file11,25600
file12,32768
file13,20480
file14,53248
file15,28160
file16,26112
file17,1785344
file18,27136
file19,26112
file20,28160
file21,38400
file22,29696
file23,54272
file24,30720
file25,44544
file26,30720
file27,36864
file28,30720
file29,45568
file30,45568
file31,30720
file32,27648
file33,24576
file34,22016
file35,29184
file36,25600
file37,25600
file38,37888
file39,22528
file40,20992
file41,26112
file42,34304
file43,28672
file44,24576
file45,28672
file46,20992
file47,39936
file48,28160
file49,30208
file50,25600
file51,25600
file52,25600
file53,61440
file54,34304
file55,27136
file56,12288
file57,46080
file58,30208
file59,30720
file60,27648
file61,30208
file62,28160
file63,25088
file64,35840
file65,22016
file66,23040
file67,205312
file68,64000
file69,20480
file70,28672
file71,27648
file72,28160
file73,31744
file74,30720
file75,28160
file76,19968
file77,38912
file78,30720
file79,40960
file80,49664
file81,48640
file82,20480
file83,36864
file84,24064
file85,35328
file86,30720
file87,219648
file88,65536
file89,52736
file90,27648
file91,29184
file92,38400
file93,28160
file94,24576
file95,26624
file96,25088
file97,26112
file98,28672
file99,36864
file100,66048
file101,37888
file102,26112
file103,29696
file104,27648
file105,28160
file106,27648
file107,37888
file108,26112
file109,30720
file110,36864
file111,36864
file112,23040
file113,28160
