Files	Filesize	Extracted Text	Metadata
1	90.9800285858	6.358403832	2.6615675822
2	92.1986639559	2.5733372059	5.2279988382
3	88.3424997304	10.0768744897	1.5806257799
4	86.8010863303	11.6829890544	1.5159246153
5	76.2104894493	22.3588127134	1.4306978373
6	76.8839653832	21.9186743417	1.197360275
7	90.780141844	7.0305272896	2.1893308665
8	88.9570238643	6.1372579079	4.9057182278
9	87.6497921252	8.2660797261	4.0841281487
10	82.9350566939	15.4150593658	1.6498839404
11	91.4481674645	6.8157462313	1.7360863042
12	93.5507883874	3.4648440144	2.9843675983
13	78.5138092424	20.4031755667	1.083015191
14	86.506719347	11.5983468067	1.8949338463
15	93.8048001675	3.431308399	2.7638914335
16	83.4122157774	15.2942993975	1.2934848251
17	92.1921691824	6.0435981917	1.7642326259
18	88.9749509694	8.6666170155	2.3584320151
19	91.7598088337	6.3670700686	1.8731210977
20	88.4352281044	10.6396682118	0.9251036838
21	85.1466083151	8.8490153173	6.0043763676
22	95.2026775753	1.4379571092	3.3593653155
23	81.8798714864	16.8566036105	1.2635249031
24	77.3043638372	20.8580371939	1.8375989689
25	88.0433599617	10.4329466054	1.5236934329
26	85.6477148262	13.7223273258	0.6299578479
27	92.3984591002	6.5025508138	1.098990086
28	95.0970663817	2.4705493219	2.4323842964
29	84.1685343387	15.3125359607	0.5189297006
30	87.705733929	11.8512002593	0.4430658117
31	92.7676279632	4.9323066083	2.3000654286
32	93.899189042	3.2295039688	2.8713069891
33	91.7913299045	5.9955914769	2.2130786187
34	81.2576220786	17.0149852153	1.7273927062
35	94.4957116491	2.0953208121	3.4089675388
36	84.7621104153	14.1828875796	1.0550020051
37	78.5138092424	20.4031755667	1.083015191
38	85.2859522488	12.3618191914	2.3522285599
39	93.2958773062	3.7051097107	2.9990129831
40	95.5733333333	1.4333333333	2.9933333333
41	87.4609289816	8.8100603329	3.7290106855
42	94.6186449189	3.4770905731	1.904264508
43	90.5485834779	7.8784477774	1.5729687447
44	83.9567830328	15.1883667116	0.8548502555
45	92.0134023759	5.0197989644	2.9667986598
46	89.9491447064	8.4290337494	1.6218215442
47	95.0142273908	3.0038352097	1.9819373995
48	80.1262673551	18.8665364757	1.0071961692
49	94.1545325736	4.3788248772	1.4666425492
50	91.051127342	6.8275643061	2.1213083519
51	88.1836406246	9.128384674	2.6879747014
52	85.4236664059	13.448704377	1.1276292171
53	95.0815452222	3.1717138287	1.7467409491
54	92.5858951175	7.1238386232	0.2902662593
55	87.3525702841	10.7583512598	1.8890784561
56	84.8736013262	7.3518441774	7.7745544965
57	76.5297093402	23.1449068443	0.3253838154
58	69.1570506552	30.3442206141	0.4987287307
59	88.8793639228	9.5990227385	1.5216133388
60	90.2998236332	6.2720458554	3.4281305115
61	92.1679001057	5.2090179158	2.6230819785
62	88.1239242685	9.5512836053	2.3247921263
63	90.4090370335	7.5300549092	2.0609080574
64	94.468733705	3.630018852	1.9012474429
65	95.4141849673	1.3191069536	3.2667080791
66	92.6722246599	5.2325581395	2.0952172005
67	78.5526300261	21.0929232609	0.354446713
68	69.4371305886	30.5306955536	0.0321738577
69	87.9550710274	8.7347208457	3.3102081269
70	87.5366364271	10.9403349616	1.5230286113
71	92.8943220011	4.3157550341	2.7899229648
72	84.8704341644	14.7355851379	0.3939806977
73	91.5166775467	6.7642761665	1.7190462868
74	89.6294403271	9.1924354715	1.1781242014
75	76.3508231814	22.5560112083	1.0931656104
76	97.975308642	0.6450617284	1.3796296296
77	66.6600450449	33.0787588217	0.2611961333
78	81.9474428646	15.1902032308	2.8623539046
79	73.0155822747	25.8370075753	1.1474101501
80	91.6352675207	6.5655614167	1.7991710626
81	77.1337788978	21.6212884847	1.2449326175
82	88.8095805463	10.6789175889	0.5115018648
83	85.1512489017	12.3697753232	2.4789757751
84	93.5297784025	6.1376927871	0.3325288103
85	84.8443995057	11.81608808	3.3395124143
86	94.090808276	3.3712493267	2.5379423973
87	82.3405265171	17.182539134	0.476934349
88	89.015888317	9.4744633605	1.5096483225
89	80.8187789602	18.064820001	1.1164010388
90	87.0706390079	11.4517655741	1.477595418
91	89.3282931085	6.8167656711	3.8549412205
92	91.5631228926	6.721186267	1.7156908403
93	90.7306434024	7.3181180869	1.9512385107
94	75.0166986275	24.0040076706	0.9792937019
95	91.2281952141	7.1307663525	1.6410384334
96	82.4757597348	16.1147424181	1.409497847
97	95.2045410061	1.5723885953	3.2230703986
98	79.6387355745	17.8324134471	2.5288509784
99	95.7540691388	1.4231027732	2.822828088
100	95.2729172108	3.1045965004	1.6224862889
101	89.1908370351	8.9539238742	1.8552390907
102	96.0832404311	2.1553325901	1.7614269788
103	91.9786458775	6.3740360986	1.6473180239
104	92.3420986185	4.3537856653	3.3041157162
105	67.9912294569	31.8592039151	0.1495666279
106	79.7690510012	16.2764056271	3.9545433717
107	90.432471189	7.9499151846	1.6176136264
108	88.7843874912	9.5902892076	1.6253233012
109	85.1853162944	12.9986902191	1.8159934865
110	94.5147679325	3.5621551444	1.9230769231
111	95.8135884821	1.7385530168	2.4478585011
112	83.9808162028	14.4716432812	1.547540516
113	85.5948732237	10.1513885019	4.2537382744
114	93.3771992562	3.3257044772	3.2970962666
